query_id,doc_id,method,correctness,faithfulness,completeness,relevance,abstained
doc001_q01,doc001,dat_full,5,4,5,5,
doc001_q01,doc001,flat_rag,4,5,3,3,
doc001_q01,doc001,section_rag,4,4,2,5,
doc001_q01,doc001,long_context,4,5,4,3,
doc001_q01,doc001,dat_no_expansion,4,3,4,5,
doc001_q01,doc001,dat_parent_only,5,5,3,5,
doc001_q01,doc001,dat_no_self_scoring,4,3,5,3,
doc001_q02,doc001,dat_full,4,5,5,5,
doc001_q02,doc001,flat_rag,3,3,2,4,
doc001_q02,doc001,section_rag,3,5,3,3,
doc001_q02,doc001,long_context,4,4,4,4,
doc001_q02,doc001,dat_no_expansion,5,3,4,5,
doc001_q02,doc001,dat_parent_only,5,4,5,5,
doc001_q02,doc001,dat_no_self_scoring,4,3,4,4,
doc001_q03,doc001,dat_full,4,4,2,4,
doc001_q03,doc001,flat_rag,3,2,2,3,
doc001_q03,doc001,section_rag,5,5,2,3,
doc001_q03,doc001,long_context,3,4,4,3,
doc001_q03,doc001,dat_no_expansion,4,4,3,4,
doc001_q03,doc001,dat_parent_only,5,3,3,4,
doc001_q03,doc001,dat_no_self_scoring,4,4,4,4,
doc001_q04,doc001,dat_full,3,4,4,4,
doc001_q04,doc001,flat_rag,4,1,3,4,
doc001_q04,doc001,section_rag,4,5,4,3,
doc001_q04,doc001,long_context,3,5,3,3,
doc001_q04,doc001,dat_no_expansion,4,3,2,5,
doc001_q04,doc001,dat_parent_only,5,3,3,5,
doc001_q04,doc001,dat_no_self_scoring,4,5,4,5,
doc001_q05,doc001,dat_full,4,4,4,5,
doc001_q05,doc001,flat_rag,4,3,4,3,
doc001_q05,doc001,section_rag,2,2,4,4,
doc001_q05,doc001,long_context,3,5,4,4,
doc001_q05,doc001,dat_no_expansion,5,4,2,4,
doc001_q05,doc001,dat_parent_only,3,4,5,4,
doc001_q05,doc001,dat_no_self_scoring,3,5,4,5,
doc001_q06,doc001,dat_full,3,5,4,5,
doc001_q06,doc001,flat_rag,2,4,2,5,
doc001_q06,doc001,section_rag,3,4,3,4,
doc001_q06,doc001,long_context,3,4,3,4,
doc001_q06,doc001,dat_no_expansion,3,5,1,5,
doc001_q06,doc001,dat_parent_only,4,4,4,3,
doc001_q06,doc001,dat_no_self_scoring,3,3,3,4,
doc001_q07,doc001,dat_full,3,3,4,4,True
doc001_q07,doc001,flat_rag,2,5,3,3,True
doc001_q07,doc001,section_rag,3,4,4,4,False
doc001_q07,doc001,long_context,3,3,5,5,True
