query_id,doc_id,method,should_expand,did_expand,correct_trigger,nodes_before,nodes_after
doc001_q01,doc001,dat_full,False,False,True,6,0
doc001_q01,doc001,dat_no_expansion,False,False,True,7,0
doc001_q01,doc001,dat_parent_only,False,False,True,7,0
doc001_q01,doc001,dat_no_self_scoring,False,False,True,5,0
doc001_q02,doc001,dat_full,False,False,True,8,0
doc001_q02,doc001,dat_no_expansion,False,False,True,4,0
doc001_q02,doc001,dat_parent_only,False,False,True,8,0
doc001_q02,doc001,dat_no_self_scoring,False,False,True,5,0
doc001_q03,doc001,dat_full,False,False,True,8,0
doc001_q03,doc001,dat_no_expansion,False,False,True,4,0
doc001_q03,doc001,dat_parent_only,False,False,True,6,0
doc001_q03,doc001,dat_no_self_scoring,False,False,True,7,0
doc001_q04,doc001,dat_full,False,False,True,6,0
doc001_q04,doc001,dat_no_expansion,False,False,True,7,0
doc001_q04,doc001,dat_parent_only,False,False,True,6,0
doc001_q04,doc001,dat_no_self_scoring,False,False,True,6,0
doc001_q05,doc001,dat_full,True,False,False,6,0
doc001_q05,doc001,dat_no_expansion,True,False,False,7,0
doc001_q05,doc001,dat_parent_only,True,True,True,5,7
doc001_q05,doc001,dat_no_self_scoring,True,True,True,5,14
doc001_q06,doc001,dat_full,True,True,True,6,12
doc001_q06,doc001,dat_no_expansion,True,False,False,6,0
doc001_q06,doc001,dat_parent_only,True,True,True,7,7
doc001_q06,doc001,dat_no_self_scoring,True,True,True,4,6
doc001_q07,doc001,dat_full,False,False,True,4,0
doc001_q07,doc001,dat_no_expansion,False,False,True,4,0
doc001_q07,doc001,dat_parent_only,False,False,True,4,0
doc001_q07,doc001,dat_no_self_scoring,False,False,True,8,0
doc001_q08,doc001,dat_full,False,False,True,8,0
doc001_q08,doc001,dat_no_expansion,False,False,True,4,0
doc001_q08,doc001,dat_parent_only,False,False,True,6,0
doc001_q08,doc001,dat_no_self_scoring,False,False,True,5,0
doc001_q09,doc001,dat_full,True,True,True,5,11
doc001_q09,doc001,dat_no_expansion,True,False,False,5,0
doc001_q09,doc001,dat_parent_only,True,True,True,6,11
doc001_q09,doc001,dat_no_self_scoring,True,False,False,6,0
doc001_q10,doc001,dat_full,False,False,True,4,0
doc001_q10,doc001,dat_no_expansion,False,False,True,6,0
doc001_q10,doc001,dat_parent_only,False,False,True,8,0
doc001_q10,doc001,dat_no_self_scoring,False,False,True,4,0
doc002_q01,doc002,dat_full,False,False,True,6,0
doc002_q01,doc002,dat_no_expansion,False,False,True,8,0
doc002_q01,doc002,dat_parent_only,False,False,True,8,0
doc002_q01,doc002,dat_no_self_scoring,False,False,True,6,0
doc002_q02,doc002,dat_full,True,True,True,4,9
doc002_q02,doc002,dat_no_expansion,True,False,False,7,0
doc002_q02,doc002,dat_parent_only,True,True,True,5,8
doc002_q02,doc002,dat_no_self_scoring,True,False,False,6,0
doc002_q03,doc002,dat_full,False,False,True,6,0
doc002_q03,doc002,dat_no_expansion,False,False,True,8,0
doc002_q03,doc002,dat_parent_only,False,False,True,7,0
doc002_q03,doc002,dat_no_self_scoring,False,False,True,8,0
doc002_q04,doc002,dat_full,False,False,True,8,0
